page,token,pos,counts,cumulative_sum
197,phrase,NN,2,2
197,century,NN,2,2
111,citation,NN,2,2
221,upon,IN,2,33
167,away,RB,2,2
111,man,NN,2,67
167,time,NN,2,14
221,rich,JJ,2,7
111,two,CD,2,16
89,even,RB,2,19
197,upon,IN,2,35
168,though,IN,2,11
168,nearly,RB,2,2
110,money,NN,2,25
219,brown,JJ,2,4
110,real,JJ,2,5
219,lord,NN,2,6
197,flourishing,VBG,2,2
110,mood,NN,2,5
219,mule,NN,2,4
197,like,IN,2,5
197,one,NN,2,115
110,revere,VBP,2,2
219,mottled,JJ,2,4
90,duty,NN,2,5
109,place,NN,2,9
109,suggestion,NN,2,2
109,end,NN,2,2
185,land,NN,2,5
219,went,VBD,2,4
168,power,NN,2,2
110,even,RB,2,21
220,necessary,JJ,2,2
51,economic,JJ,2,2
220,morals,NNS,2,2
168,last,JJ,2,11
185,way,NN,2,7
77,suggest,VB,2,2
220,glory,NN,2,2
197,famous,JJ,2,2
51,arc,NNP,2,2
220,head,NN,2,2
77,would,MD,2,83
110,convince,VB,2,6
197,breach,NN,2,2
220,wrong,JJ,2,5
51,ironical,JJ,2,2
167,first,JJ,2,13
111,even,RB,2,23
78,afternoon,NN,2,2
49,say,VB,2,18
116,lettered,JJ,2,2
78,certain,JJ,2,6
223,friend,NN,2,7
113,saying,VBG,2,2
113,giving,VBG,2,2
113,infancy,NN,2,2
223,difficulty,NN,2,2
113,strict,JJ,2,2
196,mind,NN,2,5
166,captain,NNP,2,2
222,one,CD,2,117
222,great,JJ,2,31
222,firm,NN,2,2
48,footnote,NN,2,15
112,honest,JJ,2,2
113,wrote,VBD,2,9
186,northern,JJ,2,2
78,open,JJ,2,5
166,upon,IN,2,37
113,definition,NN,2,2
47,well,RB,2,9
186,sea,NN,2,47
47,ordinary,JJ,2,2
196,become,VBN,2,2
166,hour,NN,2,6
223,space,NN,2,2
223,upon,IN,2,39
47,evidence,NN,2,2
113,man,NN,2,69
47,first,JJ,2,15
47,plain,JJ,2,2
47,use,NN,2,5
113,quite,RB,2,8
